"_id","display_name","id","rkd_uri","viaf_uri","wikidata_uri","viaf_alternate"
"cook, thomas","Thomas Cook",66118,"http://explore.rkd.nl/nl/explore/artists/18071","http://viaf.org/viaf/32266432",,"T. Cook,Cook,Thomas Cook,Cooke,Sc Cook,Cook, Thomas"
"coolens, berten","Berten Coolens",60467,"http://explore.rkd.nl/nl/explore/artists/18105","http://viaf.org/viaf/205246959",,",Coolens, Berten,Berten Coolens"
"cooper, richard","Richard Cooper",76349,"http://explore.rkd.nl/nl/explore/artists/18162","http://viaf.org/viaf/47842805",,"Richard Cooper,R. Cooper,Cooper, Richard"
"coosemans, alexander","Alexander Coosemans",595,"http://explore.rkd.nl/nl/explore/artists/18186","http://viaf.org/viaf/95743878","http://www.wikidata.org/wiki/Q2138001","Αλεξάντερ Κόοσεμανς,Alexander Coosemans,Anton Coosemans,Coosemans, Alexander"
"copers, leo","Leo Copers",41152,"http://explore.rkd.nl/nl/explore/artists/18204","http://viaf.org/viaf/57774394","http://www.wikidata.org/wiki/Q2351102","Leo Copers,Copers, Leo"
"coppens, aurèle augustin","Augustin Coppens",35986,"http://explore.rkd.nl/nl/explore/artists/18229","http://viaf.org/viaf/76588586",,"Augustin Aurèle Coppens,Augustin Coppyns,Aug. Coppens,Aurèle Augustin Coppens,Aurèle Augustin Coppens,Augustin Aurèle Coppens,Aug Coppens,Augustin Coppens,Coppens, Aurèle Augustin"
"coquet","Coquet",76331,"http://explore.rkd.nl/nl/explore/artists/115872",,,",Coquet"
"corbet, e.","E. Corbet",65,"http://explore.rkd.nl/nl/explore/artists/134545",,,",Corbet, E.,E. Corbet"
"corkole, auguste","Auguste Corkole",492,"http://explore.rkd.nl/nl/explore/artists/18358","http://viaf.org/viaf/96252416",,"Auguste Corkole,Corkole, Auguste"
"cornelis, joseph","Joseph Cornelis",1259,"http://explore.rkd.nl/nl/explore/artists/339784",,,",Cornelis, Joseph,Joseph Cornelis"
"cornelisz. van oostsanen, jacob","Jacob Cornelisz. van Oostsanen",187,"http://explore.rkd.nl/nl/explore/artists/18413","http://viaf.org/viaf/307166872","http://www.wikidata.org/wiki/Q1029143",",Cornelisz. van Oostsanen, Jacob,Jacob Cornelisz. van Oostsanen"
"cornette, hélène","Hélène Cornette",495,"http://explore.rkd.nl/nl/explore/artists/331038",,,",Cornette, Hélène,Hélène Cornette"
"corot, jean-baptiste camille","Camille Corot",398,"http://explore.rkd.nl/nl/explore/artists/18465","http://viaf.org/viaf/4940255","http://www.wikidata.org/wiki/Q148475","カミーユ コロー,讓-巴蒂斯·卡米耶·柯洛,Pére Corot,Jean-Baptiste C. Corot,Korō,Camille-Jean-Baptiste Corot,J. B. C. Corot,Camille Corot,Jean Baptiste C. Corot,Camille Jean Baptiste Corot,Ioannes Baptista Camillus Corot,Jean-Baptiste Camille Corot,Žan Batist Kamij Koro,Камиль Коро,Kamill Korot,Jean-Baptiste-Camille Corot,Korō,ژان باپتیست کامی کورو,Жан Батист Камий Коро,Жан Батыст Каміль Каро,ז'אן-בטיסט קאמי קורו,Каміль Коро,J.-B. Camille Corot,ジャン＝バティスト・カミーユ・コロー,Жан Батист Камиль Коро,Kamīyu Korō,Kamilʹ Koro,Kamil' Koro,Kamill Koro,ジャン=バティスト=カミーユ コロー,Jean Baptiste Camille Corot,Ζαν-Μπατίστ Καμίλ Κορό,コロー,Жан Батист Камиј Коро,J. B. Camille Corot,Keluo,Jean-Baptiste Corot,Коро,ജീൻ-ബാപ്റ്റിസ്റ്റ്-കാമിലെ കോറോട്ട്,Ժան Բատիստ Կամիլ Կորո,Koro Kamil,장바티스트 카미유 코로,コロー・カミーユ,Corot,Žans Batists Kamils Koro,Камилл Коро,Corot, Jean-Baptiste Camille"
