_id,aatterm,aaturi
mezzotint,mezzotinten,http://vocab.getty.edu/aat/300041356
monotype,monotypieën,http://vocab.getty.edu/aat/300041538
notenhout,notenhout,http://vocab.getty.edu/aat/300012476
offsetlithografie (prent),offsetlithografieën,http://vocab.getty.edu/aat/300192896
olieverfschilderij,olieverfschilderingen,http://vocab.getty.edu/aat/300033799
olieverfschildering,olieverfschilderingen,http://vocab.getty.edu/aat/300033799
ontwerptekening,ontwerptekeningen,http://vocab.getty.edu/aat/300069413
paintings,schilderingen,http://vocab.getty.edu/aat/300033618
pastel,pastels,http://vocab.getty.edu/aat/300076922
pastel (beeldmateriaal),pastels,http://vocab.getty.edu/aat/300076922
pen,pennen,http://vocab.getty.edu/aat/300022452
penschildering,penschilderingen,
pentekening,pentekeningen,
photographs,foto's,http://vocab.getty.edu/aat/300046300
plaquette,plaquettes,http://vocab.getty.edu/aat/300010262
platinadruk,platinadrukken,http://vocab.getty.edu/aat/300127145
pochoir,pochoir,http://vocab.getty.edu/aat/300053436
potloodtekening,potloodtekeningen,
prent,prenten,http://vocab.getty.edu/aat/300041273
prenten,prenten,http://vocab.getty.edu/aat/300041273
prijsmedaille,prijsmedailles,
printing plates,drukplaten,http://vocab.getty.edu/aat/300022755
prints,prenten,http://vocab.getty.edu/aat/300041273
reeks,reeksen,http://vocab.getty.edu/aat/300027349
reliëf (object),reliëfs,http://vocab.getty.edu/aat/300047230
reliëfets,reliëfetsen,http://vocab.getty.edu/aat/300041375
reliefs,reliëftechniek,http://vocab.getty.edu/aat/300053622
roulette,roulettes,http://vocab.getty.edu/aat/300221678
sanguine,sanguines,
schetsboek,schetsboeken,http://vocab.getty.edu/aat/300027354
schildering,schilderingen,http://vocab.getty.edu/aat/300033618
schilderingen,schilderingen,http://vocab.getty.edu/aat/300033618
schilderkunst,schilderingen,http://vocab.getty.edu/aat/300033618
schraapstaal,schraapstalen,http://vocab.getty.edu/aat/300024092
schrijnwerkerspotloodtekening,schrijnwerkerspotloodtekeningen,
sculptures,beeldhouwwerken,http://vocab.getty.edu/aat/300047090
sepiatekening,sepiatekeningen,
steen,stenen,
stippelgravure,stippelgravures,http://vocab.getty.edu/aat/300041364
studie (beeldmateriaal),studies,http://vocab.getty.edu/aat/300081053
suikeraquatint,suikeraquatint,http://vocab.getty.edu/aat/300190346
tapestries,tapisserieën,http://vocab.getty.edu/aat/300205002
